"Name","Pos","Age","Team","GP","G","A","PTS","+/-","PIM","PPG","PPP","SOG","PTS/G","NHLe"
"JAKOB PELLETIER","L","25.3","Syracuse Crunch","66","28","49","77","22","19","8","31","159","1.17","46"
"CAMERON HUGHES","F","29.7","Texas Stars","69","20","51","71","15","48","4","18","154","1.03","41"
"ALEX BARRE-BOULET","C","29.1","Colorado Eagles","70","26","44","70","15","30","10","21","215","1.00","40"
"ARTHUR KALIYEV","L","25.0","Belleville Senators","73","42","28","70","-13","30","16","23","273","0.96","38"
"ILYA PROTAS","C","20.0","Hershey Bears","72","29","38","67","18","40","11","19","148","0.93","37"
"TANNER LACZYNSKI","F","29.1","Henderson Silver Knights","66","23","44","67","38","35","4","16","145","1.02","40"
"FELIX UNGER SORUM","R","20.8","Chicago Wolves","72","17","49","66","14","20","6","21","116","0.92","37"
"SETH GRIFFITH","R","33.5","Bakersfield Condors","71","18","47","65","-2","50","3","24","82","0.92","36"
"KONSTA HELENIUS","F","20.1","Rochester Americans","66","21","43","64","-15","22","9","25","157","0.97","39"
"QUINN HUTSON","F","24.5","Bakersfield Condors","71","30","34","64","-7","84","12","29","202","0.90","36"
"JUSTIN ROBIDAS","F","23.3","Chicago Wolves","62","23","40","63","20","14","2","11","195","1.02","40"
"ALEX BELZILE","F","34.8","Laval Rocket","66","29","33","62","15","76","14","26","161","0.94","37"
"CONOR GEEKIE","C","22.2","Syracuse Crunch","60","18","44","62","11","60","7","26","181","1.03","41"
"DRYDEN HUNT","L","30.6","Calgary Wranglers","52","18","44","62","4","64","3","17","134","1.19","48"
"ZAC JONES","D","25.7","Rochester Americans","63","11","51","62","-14","14","3","38","170","0.98","39"
"GEORGII MERKULOV","L","25.7","Providence Bruins","70","24","37","61","11","38","5","22","135","0.87","35"
"ANDREW CRISTALL","L","21.4","Hershey Bears","72","20","40","60","-6","24","2","16","135","0.83","33"
"FILIP BYSTEDT","F","24.2","San Jose Barracuda","65","22","38","60","-2","22","6","21","119","0.92","37"
"LUCA DEL BEL BELLUZ","F","22.6","Cleveland Monsters","58","22","38","60","-3","2","9","27","142","1.03","41"
"MARTIN FRK","R","32.7","Calgary Wranglers","66","30","30","60","12","72","6","14","167","0.91","36"
"LAURENT DAUPHIN","F","31.3","Laval Rocket","56","15","44","59","18","34","4","18","139","1.05","42"
"LOGAN MORRISON","F","24.0","Coachella Valley Firebirds","68","29","30","59","26","42","8","14","158","0.87","35"
"VILJAMI MARJALA","C","23.4","Bakersfield Condors","72","17","42","59","-8","22","7","24","130","0.82","33"
"BRADLY NADEAU","F","21.2","Chicago Wolves","56","29","28","57","16","24","7","16","159","1.02","41"
"DYLAN DUKE","C","23.3","Syracuse Crunch","72","32","25","57","-6","42","18","27","151","0.79","32"
"JAGGER FIRKUS","F","22.2","Coachella Valley Firebirds","67","23","34","57","17","18","3","13","183","0.85","34"
"JAYSON MEGNA","F","36.4","Colorado Eagles","73","30","27","57","26","30","6","9","139","0.78","31"
"MITCHELL CHAFFEE","R","28.4","Syracuse Crunch","54","24","33","57","6","57","7","21","152","1.06","42"
"RORY KERINS","C","24.2","Calgary Wranglers","56","22","35","57","-11","16","4","13","118","1.02","41"
"XAVIER BOURGAULT","R","23.7","Belleville Senators","70","25","32","57","-17","34","5","18","180","0.81","32"
"AUSTIN POGANSKI","R","30.4","Tucson Roadrunners","70","22","34","56","0","18","4","13","118","0.80","32"
"MARTIN CHROMIAK","F","23.9","Ontario Reign","71","28","28","56","1","14","12","24","178","0.79","31"
"PATRICK BROWN","F","34.1","Providence Bruins","74","21","35","56","39","56","6","12","189","0.76","30"
"RILEY TUFTE","L","28.2","Providence Bruins","64","32","24","56","28","71","5","10","170","0.88","35"
"SASHA PASTUJOV","R","23.0","San Diego Gulls","71","21","35","56","3","26","7","21","243","0.79","31"
"NIKITA ALEXANDROV","F","25.8","Ontario Reign","66","16","39","55","-20","28","4","20","144","0.83","33"
"TREY FIX-WOLANSKY","F","27.1","Hartford Wolf Pack","72","31","24","55","-10","121","7","12","214","0.76","30"
"BRETT SENEY","F","30.3","Rockford IceHogs","70","19","35","54","2","65","1","7","133","0.77","31"
"JOHN LEONARD","L","27.9","Grand Rapids Griffins","47","33","21","54","8","12","5","10","161","1.15","46"
"LOGAN SHAW","F","33.7","Toronto Marlies","72","23","31","54","-1","45","5","12","133","0.75","30"
"RAPHAEL LAVOIE","F","25.8","Henderson Silver Knights","45","30","24","54","4","12","11","17","175","1.20","48"
"ALEX NYLANDER","R","28.3","Toronto Marlies","65","24","29","53","5","12","4","12","153","0.82","32"
"CAMERON HEBIG","C","29.4","Tucson Roadrunners","68","25","28","53","-1","30","6","15","174","0.78","31"
"COLE GUTTMAN","F","27.2","Ontario Reign","67","24","29","53","2","52","7","19","163","0.79","32"
"MATT LUFF","R","29.2","Bridgeport Islanders","65","18","35","53","-15","31","5","20","135","0.82","32"
"SEAN FARRELL","F","24.7","Laval Rocket","72","17","36","53","-2","20","9","24","143","0.74","29"
"BEN MCCARTNEY","F","25.0","Tucson Roadrunners","59","22","30","52","-2","75","5","12","135","0.88","35"
"BENOIT-OLIVIER GROULX","C","26.4","Toronto Marlies","59","28","24","52","6","34","2","6","136","0.88","35"
"JACK AHCAN","D","29.1","Colorado Eagles","61","11","41","52","25","48","4","22","149","0.85","34"
"MATEJ BLUMEL","L","26.1","Providence Bruins","58","21","31","52","23","20","6","16","179","0.90","36"
"MATTHEW PHILLIPS","R","28.2","San Diego Gulls","71","16","36","52","-16","18","6","17","154","0.73","29"
"MATTHEW SEMINOFF","F","22.5","Texas Stars","72","24","27","51","14","24","9","10","153","0.71","28"
"NICK ABRUZZESE","L","27.1","Syracuse Crunch","56","15","36","51","11","8","2","18","86","0.91","36"
"ADAM BECKMAN","L","25.1","Bridgeport Islanders","68","30","20","50","2","36","6","9","178","0.74","29"
"CHRIS WAGNER","C","35.1","Springfield Thunderbirds","67","24","26","50","-8","61","7","14","171","0.75","30"
"GLENN GAWDIN","F","29.3","Ontario Reign","71","16","34","50","3","73","4","14","140","0.70","28"
"ISAAC HOWARD","L","22.2","Bakersfield Condors","47","24","26","50","-2","12","7","14","151","1.06","42"
"JAKE LUCCHINI","C","31.1","Milwaukee Admirals","63","17","33","50","-11","23","3","18","142","0.79","32"
"PHILIPPE DAOUST","C","24.6","Belleville Senators","63","14","36","50","-12","24","4","19","82","0.79","32"
"REM PITLICK","L","29.2","Rockford IceHogs","69","22","28","50","-26","42","6","14","106","0.72","29"
"T.J. TYNAN","F","34.3","Colorado Eagles","67","3","47","50","9","42","0","23","91","0.75","30"
"BEN HEMMERLING","F","22.2","Henderson Silver Knights","68","21","28","49","26","16","3","8","119","0.72","29"
"KAI UCHACZ","F","23.0","Henderson Silver Knights","68","20","29","49","1","52","7","15","127","0.72","29"
"MATTHEW PECA","C","33.2","Syracuse Crunch","63","12","37","49","-12","20","4","20","111","0.78","31"
"MIKAEL PYYHTIA","L","24.5","Cleveland Monsters","59","20","29","49","0","22","7","18","125","0.83","33"
"RYAN CARPENTER","C","35.4","San Diego Gulls","71","17","32","49","-9","22","6","15","123","0.69","28"
"SAM POULIN","C","25.3","Bakersfield Condors","71","21","28","49","15","55","2","8","161","0.69","28"
"TREVOR CONNELLY","F","20.3","Henderson Silver Knights","46","14","35","49","2","18","5","22","120","1.07","42"
"ANDRE LEE","F","25.9","Ontario Reign","69","27","21","48","16","47","10","16","129","0.70","28"
"BEN STEEVES","F","24.1","Charlotte Checkers","75","24","24","48","5","100","9","13","170","0.64","26"
"JEREMY DAVIES","D","29.6","Henderson Silver Knights","72","9","39","48","1","74","2","15","144","0.67","27"
"JIMMY HUNTINGTON","F","27.6","San Jose Barracuda","71","15","33","48","-3","60","5","10","118","0.68","27"
"LANE PEDERSON","C","28.9","Lehigh Valley Phantoms","63","23","25","48","-9","44","9","15","143","0.76","30"
"RYAN SUZUKI","C","25.1","Chicago Wolves","66","13","35","48","10","30","5","14","104","0.73","29"
"TRISTEN NIELSEN","F","26.3","Colorado Eagles","66","27","21","48","12","62","7","17","162","0.73","29"
"COLIN WHITE","C","29.4","San Jose Barracuda","46","21","26","47","1","28","5","12","96","1.02","41"
"LUKAS CORMIER","D","24.3","Henderson Silver Knights","49","8","39","47","2","32","5","24","121","0.96","38"
"ROBY JARVENTIE","R","23.9","Bakersfield Condors","61","23","24","47","9","30","6","10","115","0.77","31"
"RYAN UFKO","D","23.1","Milwaukee Admirals","56","11","36","47","-13","20","6","23","108","0.84","33"
"SCOTT PERUNOVICH","D","27.9","Tucson Roadrunners","64","9","38","47","4","54","1","16","90","0.73","29"
"JORDAN OESTERLE","D","34.0","Milwaukee Admirals","69","14","32","46","-15","33","3","11","146","0.67","27"
"LIAM FOUDY","F","26.4","Bridgeport Islanders","60","26","20","46","0","14","5","6","134","0.77","31"
"TYSON JUGNAUTH","D","22.2","Coachella Valley Firebirds","76","9","37","46","-4","44","2","11","124","0.61","24"
"WILLIAM STROMGREN","L","23.1","Calgary Wranglers","66","11","35","46","-2","52","4","10","82","0.70","28"
"ANTHONY RICHARD","L","29.5","Lehigh Valley Phantoms","66","18","27","45","-19","37","3","13","133","0.68","27"
"BOGDAN TRINEYEV","R","24.3","Hershey Bears","62","17","28","45","9","31","3","11","137","0.73","29"
"JACK DEVINE","F","22.7","Charlotte Checkers","66","19","26","45","16","57","4","10","146","0.68","27"
"JOSHUA ROY","L","22.9","Laval Rocket","57","23","22","45","-6","32","8","17","187","0.79","31"
"LUCA PINELLI","L","21.2","Cleveland Monsters","68","14","31","45","0","66","6","15","149","0.66","26"
"SHELDON DRIES","C","32.2","Grand Rapids Griffins","57","23","22","45","20","13","7","14","149","0.79","31"
"AIDAN MCDONOUGH","L","26.6","Wilkes-Barre/Scranton Penguins","65","23","21","44","18","24","9","14","140","0.68","27"
"ALEKSANTERI KASKIMAKI","F","22.4","Springfield Thunderbirds","64","20","24","44","-8","10","6","17","161","0.69","27"
"BRETT LEASON","R","27.2","Hershey Bears","56","14","30","44","7","47","1","8","143","0.79","31"
"COLE O'HARA","R","24.0","Milwaukee Admirals","67","19","25","44","-10","12","4","13","151","0.66","26"
"MICHAEL BRANDSEGG-NYGARD","R","20.7","Grand Rapids Griffins","60","20","24","44","17","42","7","13","147","0.73","29"
"QUENTIN MUSTY","F","21.0","San Jose Barracuda","61","21","23","44","-14","46","8","20","167","0.72","29"
"TRISTAN BROZ","F","23.7","Wilkes-Barre/Scranton Penguins","50","19","25","44","23","41","2","10","99","0.88","35"
"DOMINIC TONINATO","C","32.3","Rockford IceHogs","52","16","27","43","-8","57","3","8","131","0.83","33"
"DYLAN COGHLAN","D","28.4","Henderson Silver Knights","62","14","29","43","10","28","4","16","143","0.69","28"
"GRAEME CLARKE","R","25.2","Belleville Senators","65","20","23","43","-5","42","7","11","172","0.66","26"
"ISAK ROSEN","R","23.3","Rochester Americans","40","25","18","43","-3","6","8","17","108","1.08","43"
"LUCA CAGNONI","D","21.5","San Jose Barracuda","67","8","35","43","-9","22","3","23","162","0.64","26"
"MASON SHAW","R","27.7","Manitoba Moose","71","15","28","43","7","67","1","4","162","0.61","24"
"MATTHEW POITRAS","C","22.3","Providence Bruins","69","13","30","43","2","48","6","12","136","0.62","25"
"OLIVER WAHLSTROM","R","26.0","San Jose Barracuda","62","24","19","43","-16","45","14","26","162","0.69","28"
"AMADEUS LOMBARDI","C","23.1","Grand Rapids Griffins","47","16","26","42","11","22","0","8","118","0.89","36"
"BEN BERARD","F","27.4","Abbotsford Canucks","67","22","20","42","-9","15","1","4","125","0.63","25"
"EDUARDS TRALMAKS","L","29.4","Grand Rapids Griffins","64","26","16","42","29","14","5","7","127","0.66","26"
"FABIAN LYSELL","R","23.4","Providence Bruins","57","17","25","42","13","51","0","7","88","0.74","29"
"GERRY MAYHEW","C","33.5","Iowa Wild","60","22","20","42","-16","32","11","20","119","0.70","28"
"VINNI LETTIERI","C","31.4","Toronto Marlies","55","14","28","42","1","32","5","11","142","0.76","30"
"JACK BECKER","F","29.0","Texas Stars","71","14","27","41","16","36","1","2","118","0.58","23"
"JAMES HAMBLIN","C","27.2","Bakersfield Condors","64","27","14","41","12","32","2","2","109","0.64","26"
"JUSTIN BAILEY","R","31.0","San Diego Gulls","71","26","15","41","1","40","4","9","147","0.58","23"
"NILS AMAN","C","26.4","Abbotsford Canucks","55","6","35","41","0","16","1","15","83","0.75","30"
"TRISTAN LUNEAU","D","22.5","San Diego Gulls","70","10","31","41","-4","29","2","18","156","0.59","23"
"VILLE KOIVUNEN","L","23.0","Wilkes-Barre/Scranton Penguins","34","13","28","41","12","42","1","13","60","1.21","48"
"ATRO LEPPANEN","D","27.5","Bakersfield Condors","53","11","29","40","-5","28","5","19","115","0.75","30"
"CARTER YAKEMCHUK","D","20.7","Belleville Senators","54","10","30","40","-31","36","3","16","107","0.74","30"
"EGOR AFANASYEV","L","25.4","San Jose Barracuda","64","14","26","40","-4","59","3","13","174","0.63","25"
"KENNY CONNORS","F","23.3","Ontario Reign","65","15","25","40","18","30","2","8","118","0.62","25"
"MATTHEW HIGHMORE","C","30.3","Bridgeport Islanders","70","15","25","40","-2","24","3","8","86","0.57","23"
"PHIL TOMASINO","R","24.9","Lehigh Valley Phantoms","52","12","28","40","-4","53","3","11","117","0.77","31"
"RAFAEL HARVEY-PINARD","L","27.5","Wilkes-Barre/Scranton Penguins","66","21","19","40","20","31","2","7","105","0.61","24"
"AVERY HAYES","R","23.7","Wilkes-Barre/Scranton Penguins","42","24","15","39","10","48","8","11","143","0.93","37"
"DANIIL BUT","F","21.4","Tucson Roadrunners","41","19","20","39","1","38","6","11","126","0.95","38"
"VALTTERI PUUSTINEN","R","27.1","Colorado Eagles","59","12","27","39","7","16","3","10","121","0.66","26"
"XAVIER PARENT","F","25.3","Utica Comets","63","20","19","39","-2","80","5","9","147","0.62","25"
"ANDREW AGOZZINO","C","35.5","Tucson Roadrunners","56","19","19","38","-4","24","7","12","116","0.68","27"
"ANTON WAHLBERG","L","21.0","Rochester Americans","68","9","29","38","5","20","2","14","115","0.56","22"
"ARTEM SHLAINE","F","24.3","Texas Stars","67","19","19","38","-7","12","5","8","118","0.57","23"
"CALLE ROSEN","D","32.4","Springfield Thunderbirds","70","9","29","38","-9","26","3","17","147","0.54","22"
"DANIIL MIROMANOV","D","29.0","Calgary Wranglers","66","11","27","38","-6","26","1","6","140","0.58","23"
"DOMINIK SHINE","F","33.2","Grand Rapids Griffins","44","21","17","38","26","41","4","6","107","0.86","34"
"FREDERIC BRUNET","D","22.9","Providence Bruins","68","12","26","38","17","30","1","7","103","0.56","22"
"JUDD CAULFIELD","R","25.3","San Diego Gulls","71","17","21","38","0","14","1","2","105","0.54","21"
"LLEYTON ROED","F","23.9","Coachella Valley Firebirds","65","11","27","38","22","16","0","0","123","0.58","23"
"MITCH MCLAIN","F","32.6","Henderson Silver Knights","71","22","16","38","-5","107","7","11","158","0.54","21"
"NICOLAS AUBE-KUBEL","R","30.1","Iowa Wild","62","15","23","38","-3","59","2","6","102","0.61","24"
"RILEY FIDDLER-SCHULTZ","L","24.1","Rochester Americans","62","21","17","38","-13","32","5","13","135","0.61","24"
"SAMUEL BLAIS","L","30.0","Laval Rocket","35","14","24","38","0","62","7","18","73","1.09","43"
"BRENDAN BRISSON","F","24.7","Hartford Wolf Pack","69","19","18","37","-34","63","8","14","111","0.54","21"
"CROSS HANAS","F","24.5","Texas Stars","56","15","22","37","6","36","1","6","96","0.66","26"
"DILLON DUBE","L","27.9","Springfield Thunderbirds","46","20","17","37","-1","10","4","10","105","0.80","32"
"DYLAN GAMBRELL","C","29.8","Iowa Wild","35","10","27","37","-1","4","5","18","78","1.06","42"
"ERIK GUSTAFSSON","D","34.3","Grand Rapids Griffins","39","4","33","37","21","32","2","12","63","0.95","38"
"SAM MORTON","C","26.9","Calgary Wranglers","68","17","20","37","-16","30","0","6","154","0.54","22"
"SANDIS VILMANIS","F","22.4","Charlotte Checkers","48","17","20","37","17","26","3","9","86","0.77","31"
"TY MUELLER","C","23.3","Abbotsford Canucks","61","16","21","37","-14","30","7","14","115","0.61","24"
"WILMER SKOOG","F","27.0","Charlotte Checkers","61","18","19","37","12","51","2","6","121","0.61","24"
"ANGUS CROOKSHANK","L","26.7","Utica Comets","60","24","12","36","-16","14","5","11","160","0.60","24"
"ATLEY CALVERT","C","22.8","Wilkes-Barre/Scranton Penguins","70","16","20","36","19","28","4","5","137","0.51","20"
"BRENDAN GAUNCE","C","32.3","Cleveland Monsters","44","16","20","36","-9","18","4","12","139","0.82","33"
"BRIAN PINHO","F","31.1","Charlotte Checkers","71","14","22","36","12","16","1","5","149","0.51","20"
"CHRISTIAN KYROU","D","22.8","Lehigh Valley Phantoms","62","10","26","36","0","16","3","12","93","0.58","23"
"COOPER MARODY","F","29.5","Coachella Valley Firebirds","56","13","23","36","0","20","2","10","93","0.64","26"
"DAVID SPACEK","D","23.4","Iowa Wild","59","8","28","36","-1","16","6","16","123","0.61","24"
"DMITRI SIMASHEV","D","21.4","Tucson Roadrunners","44","8","28","36","-1","31","3","12","97","0.82","33"
"DOMENICK FENSORE","D","24.8","Chicago Wolves","64","10","26","36","2","37","2","9","161","0.56","22"
"GABE KLASSEN","C","23.0","Wilkes-Barre/Scranton Penguins","59","17","19","36","10","20","3","8","110","0.61","24"
"JACK WILLIAMS","C","24.3","Cleveland Monsters","72","15","21","36","0","14","1","5","147","0.50","20"
"JACOB GAUCHER","F","25.3","Lehigh Valley Phantoms","69","20","16","36","-10","44","3","6","104","0.52","21"
"JARET ANDERSON-DOLAN","C","26.8","Manitoba Moose","72","13","23","36","-5","58","0","2","92","0.50","20"
"RYAN TVERBERG","F","24.4","Toronto Marlies","63","14","22","36","18","36","1","2","87","0.57","23"
"TREVOR KUNTAR","L","25.0","Rochester Americans","70","21","15","36","-15","85","7","12","167","0.51","20"
"ADAM ENGSTROM","D","22.6","Laval Rocket","48","11","24","35","12","18","1","12","117","0.73","29"
"EVAN VIERLING","F","24.0","Chicago Wolves","70","16","19","35","-12","12","3","6","100","0.50","20"
"FRANCESCO PINELLI","F","23.2","Ontario Reign","65","14","21","35","16","50","1","6","113","0.54","21"
"HUNTER HAIGHT","F","22.2","Iowa Wild","58","18","17","35","-14","22","6","14","113","0.60","24"
"JACOB QUILLAN","C","24.4","Toronto Marlies","40","14","21","35","12","23","5","7","70","0.88","35"
"JURAJ PEKARCIK","F","20.8","Springfield Thunderbirds","69","11","24","35","-8","10","4","7","52","0.51","20"
"KASPER HALTTUNEN","F","20.0","San Jose Barracuda","69","16","19","35","-6","45","8","14","149","0.51","20"
"KOLE LIND","F","27.7","Texas Stars","70","11","24","35","-14","95","1","5","130","0.50","20"
"KYLE CRISCUOLO","C","34.2","Utica Comets","62","14","21","35","-8","22","4","13","114","0.56","22"
"MATYAS SAPOVALIV","F","22.4","Henderson Silver Knights","72","18","17","35","-9","8","8","11","108","0.49","19"
"NICK LARDIS","F","21.0","Rockford IceHogs","39","19","16","35","1","12","7","9","104","0.90","36"
"OWEN SILLINGER","C","28.8","Cleveland Monsters","69","15","20","35","-14","50","7","14","126","0.51","20"
"SAMUEL FAGEMO","L","26.3","Manitoba Moose","72","19","16","35","-22","22","6","12","164","0.49","19"
"TY NELSON","D","22.2","Coachella Valley Firebirds","63","12","23","35","14","26","1","7","158","0.56","22"
"ANTONIO STRANGES","F","24.4","Texas Stars","70","14","20","34","-19","12","2","10","137","0.49","19"
"BRIAN HALONEN","F","27.5","Utica Comets","54","20","14","34","-3","28","5","6","143","0.63","25"
"DANILA KLIMOVICH","R","23.5","Abbotsford Canucks","63","18","16","34","-17","62","7","14","171","0.54","22"
"DERRICK POULIOT","D","32.5","Rockford IceHogs","68","2","32","34","-16","34","1","12","97","0.50","20"
"IVAN MIROSHNICHENKO","L","22.4","Hershey Bears","41","14","20","34","-1","47","5","8","121","0.83","33"
"OSCAR FISKER MøLGAARD","F","21.4","Coachella Valley Firebirds","49","10","24","34","9","12","2","12","78","0.69","28"
"PHILLIP DI GIUSEPPE","L","32.7","Manitoba Moose","72","15","19","34","-12","74","4","8","188","0.47","19"
"RUTGER MCGROARTY","L","22.2","Wilkes-Barre/Scranton Penguins","30","10","24","34","10","9","2","9","75","1.13","45"
"SAM COLANGELO","F","24.5","San Diego Gulls","49","12","22","34","-10","25","7","14","134","0.69","28"
"WALKER DUEHR","R","28.6","Manitoba Moose","62","17","17","34","4","18","1","3","138","0.55","22"
"IGOR CHERNYSHOV","F","20.6","San Jose Barracuda","41","13","20","33","11","36","3","14","82","0.80","32"
"JANI NYMAN","F","21.9","Coachella Valley Firebirds","39","21","12","33","19","33","3","3","122","0.85","34"
"JOEY ANDERSON","R","28.0","Rockford IceHogs","52","17","16","33","-5","14","4","8","113","0.63","25"
"LOUIE BELPEDIO","D","30.1","Hershey Bears","68","9","24","33","-3","67","1","10","105","0.49","19"
"LUKE HAYMES","C","22.9","Toronto Marlies","66","18","15","33","-3","22","4","10","111","0.50","20"
"MATTHEW MAGGIO","F","23.6","Bridgeport Islanders","63","11","22","33","-2","30","3","9","132","0.52","21"
"NOEL GUNLER","R","24.7","Chicago Wolves","71","15","18","33","-15","56","4","9","120","0.46","19"
"OWEN BECK","F","22.4","Laval Rocket","58","13","20","33","6","28","2","9","110","0.57","23"
"SKYLER BRIND'AMOUR","F","26.9","Chicago Wolves","68","16","17","33","-12","36","4","7","110","0.49","19"
"DANIL GUSHCHIN","F","24.4","Colorado Eagles","49","18","14","32","6","26","7","13","158","0.65","26"
"DAVID GUSTAFSSON","C","26.2","Manitoba Moose","48","10","22","32","12","12","3","7","87","0.67","27"
"GUSTAV OLOFSSON","D","31.6","Coachella Valley Firebirds","48","4","28","32","28","28","0","0","73","0.67","27"
"HARRISON SCOTT","F","25.8","Texas Stars","72","18","14","32","-3","38","3","4","122","0.44","18"
"MARSHALL WARREN","D","25.2","Bridgeport Islanders","56","6","26","32","15","30","0","6","112","0.57","23"
"MATTEO PIETRONIRO","D","27.7","Syracuse Crunch","65","9","23","32","26","86","0","0","87","0.49","20"
"MATVEI GRIDIN","F","20.3","Calgary Wranglers","41","10","22","32","2","18","1","3","104","0.78","31"
"ROBERT MASTROSIMONE","L","25.4","Charlotte Checkers","49","13","19","32","10","40","3","6","67","0.65","26"
"TYE FELHABER","F","27.9","Colorado Eagles","63","15","17","32","5","36","2","5","172","0.51","20"
"WOJCIECH STACHOWIAK","C","27.0","Grand Rapids Griffins","48","12","20","32","9","32","2","4","96","0.67","27"
"CALEN ADDISON","D","26.2","Utica Comets","65","6","25","31","-16","32","0","8","106","0.48","19"
"CARSON MEYER","R","28.9","Rochester Americans","55","14","17","31","-14","24","6","11","110","0.56","22"
"CHRISTIAN WOLANIN","D","31.3","Providence Bruins","53","7","24","31","12","14","4","16","107","0.58","23"
"DANIEL CARR","L","34.7","Milwaukee Admirals","49","16","15","31","-18","32","10","16","89","0.63","25"
"GARRETT PILON","C","28.2","Belleville Senators","56","8","23","31","-3","8","1","2","67","0.55","22"
"HENRIK RYBINSKI","C","25.0","Hershey Bears","59","10","21","31","6","24","1","1","77","0.53","21"
"HUGH MCGING","F","28.0","Springfield Thunderbirds","66","12","19","31","-5","59","2","4","92","0.47","19"
"JAKUB BRABENEC","F","22.8","Henderson Silver Knights","62","12","19","31","4","34","2","7","90","0.50","20"
"JOSH SAMANSKI","C","24.3","Bakersfield Condors","45","8","23","31","6","40","0","4","44","0.69","27"
"MICHAEL BENNING","D","24.5","Charlotte Checkers","57","8","23","31","9","40","1","4","112","0.54","22"
"NOLAN FOOTE","L","25.6","Charlotte Checkers","54","14","17","31","2","40","2","7","142","0.57","23"
"OASIZ WIESBLATT","C","22.2","Milwaukee Admirals","67","13","18","31","-21","124","8","16","92","0.46","18"
"SAMUEL BOLDUC","D","25.6","Belleville Senators","68","6","25","31","11","24","2","11","116","0.46","18"
"VICTOR SODERSTROM","D","25.3","Providence Bruins","57","9","22","31","9","33","1","6","104","0.54","22"
"BEN JONES","C","27.3","Iowa Wild","37","11","19","30","1","26","3","9","94","0.81","32"
"BRAYDEN YAGER","C","21.5","Manitoba Moose","68","10","20","30","-15","10","3","10","108","0.44","18"
"JACK STUDNICKA","F","27.4","Charlotte Checkers","41","12","18","30","13","34","3","5","100","0.73","29"
"JARED WRIGHT","F","23.6","Ontario Reign","54","17","13","30","27","11","0","0","91","0.56","22"
"NATE SMITH","C","27.7","Charlotte Checkers","47","12","18","30","5","41","0","5","55","0.64","25"
"OLLE LYCKSELL","R","26.8","Belleville Senators","44","13","17","30","-14","20","3","10","109","0.68","27"
"WILLIAM VILLENEUVE","D","24.3","Toronto Marlies","61","3","27","30","-1","64","0","14","85","0.49","20"
"WYATT BONGIOVANNI","C","26.9","Hershey Bears","65","15","15","30","-17","32","4","8","115","0.46","18"
"ADAM SYKORA","F","21.8","Hartford Wolf Pack","62","12","17","29","0","28","0","2","120","0.47","19"
"ANTTI TUOMISTO","D","25.4","Grand Rapids Griffins","68","8","21","29","29","34","1","5","101","0.43","17"
"COLE MCWARD","D","25.1","Bridgeport Islanders","66","8","21","29","-9","24","0","6","105","0.44","18"
"COREY SCHUENEMAN","D","30.8","Hershey Bears","71","6","23","29","7","27","1","3","119","0.41","16"
"DYSIN MAYO","D","29.9","Cleveland Monsters","59","3","26","29","16","52","1","5","92","0.49","20"
"FLORIAN XHEKAJ","C","22.0","Laval Rocket","64","17","12","29","8","182","2","5","104","0.45","18"
"ISAAK PHILLIPS","D","24.8","Manitoba Moose","67","10","19","29","-2","45","0","1","136","0.43","17"
"JAKUB RYCHLOVSKY","L","24.9","Grand Rapids Griffins","67","9","20","29","23","26","0","3","78","0.43","17"
"JOAKIM KEMELL","F","22.2","Milwaukee Admirals","48","10","19","29","-21","56","6","18","107","0.60","24"
"JOEY LARSON","F","25.3","Bridgeport Islanders","63","18","11","29","-4","21","6","10","136","0.46","18"
"JUSTIN DOWLING","C","35.7","Hartford Wolf Pack","46","9","20","29","-10","4","0","7","83","0.63","25"
"NATHAN GAUCHER","C","22.6","San Diego Gulls","62","15","14","29","2","47","0","0","104","0.47","19"
"OSKAR OLAUSSON","F","23.6","Iowa Wild","63","12","17","29","-7","24","1","4","120","0.46","18"
"SAMMY WALKER","F","27.1","Tucson Roadrunners","57","12","17","29","-12","16","1","8","124","0.51","20"
"STEPHEN HALLIDAY","C","24.0","Belleville Senators","29","2","27","29","-15","16","0","15","64","1.00","40"
"TRAVIS BOYD","F","32.8","Toronto Marlies","34","10","19","29","-8","6","2","9","47","0.85","34"
"YEGOR SIDOROV","R","22.0","San Diego Gulls","68","15","14","29","-19","36","4","10","136","0.43","17"
"AATU JAMSEN","F","22.9","Ontario Reign","59","16","12","28","4","30","4","8","69","0.47","19"
"ALEX JEFFERIES","F","24.6","Bridgeport Islanders","60","9","19","28","-1","46","2","7","101","0.47","19"
"BRENDAN FURRY","L","28.0","Syracuse Crunch","58","14","14","28","-2","20","0","0","92","0.48","19"
"DANS LOCMELIS","C","22.4","Providence Bruins","43","15","13","28","16","6","4","7","91","0.65","26"
"JAMIE ENGELBERT","F","26.0","Rockford IceHogs","70","9","19","28","-12","52","1","6","120","0.40","16"
"MICHAEL KAROW","D","27.5","Texas Stars","68","10","18","28","23","25","0","0","78","0.41","16"
"NIKITA PAVLYCHEV","C","29.3","Chicago Wolves","69","14","14","28","3","50","1","4","115","0.41","16"
"ONDREJ BECHER","C","22.4","Grand Rapids Griffins","60","9","19","28","5","42","0","9","83","0.47","19"
"OWEN PICKERING","D","22.4","Wilkes-Barre/Scranton Penguins","68","7","21","28","15","28","2","4","94","0.41","16"
"REID SCHAEFER","L","22.8","Milwaukee Admirals","33","15","13","28","0","55","4","9","77","0.85","34"
